REP_PERIOD,FUND_TYP,COD_BUDGET,COD_FINA,NAME_FIN,ZAT_AMT,FAKT_AMT,CITY
2021-01-31,T,2.2564e+10,402202,Середньострокові зобов'язання,-2749028,0,Khmelnytskyi
2021-01-31,T,2.2564e+10,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-48000000,Khmelnytskyi
2021-01-31,C,2.2564e+10,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-28000000,-88000000,Khmelnytskyi
2021-01-31,T,2.2564e+10,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-28000000,-88000000,Khmelnytskyi
2021-01-31,C,2.2564e+10,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-48000000,Khmelnytskyi
2021-01-31,C,2.2564e+10,601110,Повернення бюджетних коштів з депозитів,28000000,40000000,Khmelnytskyi
2021-01-31,S,2.2564e+10,602300,Інші розрахунки,0,11613794.29,Khmelnytskyi
2021-01-31,S,2.2564e+10,401000,Запозичення,16535522.58,0,Khmelnytskyi
2021-01-31,T,2.2564e+10,402200,Зовнішні зобов'язання,-2749028,0,Khmelnytskyi
2021-01-31,S,2.2564e+10,600000,Фінансування за активними операціями,250290363,-1195398.23,Khmelnytskyi
2021-01-31,T,2.2564e+10,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",28000000,40000000,Khmelnytskyi
2021-01-31,T,2.2564e+10,601110,Повернення бюджетних коштів з депозитів,28000000,40000000,Khmelnytskyi
2021-01-31,S,2.2564e+10,602000,Зміни обсягів бюджетних коштів,250290363,-1195398.23,Khmelnytskyi
2021-01-31,S,2.2564e+10,602100,На початок періоду,0,7363281.26,Khmelnytskyi
2021-01-31,S,2.2564e+10,402000,Погашення,-2749028,0,Khmelnytskyi
2021-01-31,T,2.2564e+10,602200,На кінець періоду,0,72159888.49,Khmelnytskyi
